"year","state","month","number","date"
2002,"Amapa","Julho",1,2002-01-01
2003,"Amapa","Julho",0,2003-01-01
2004,"Amapa","Julho",2,2004-01-01
2005,"Amapa","Julho",0,2005-01-01
2006,"Amapa","Julho",0,2006-01-01
2007,"Amapa","Julho",0,2007-01-01
2008,"Amapa","Julho",0,2008-01-01
2009,"Amapa","Julho",4,2009-01-01
2010,"Amapa","Julho",2,2010-01-01
2011,"Amapa","Julho",5,2011-01-01
2012,"Amapa","Julho",3,2012-01-01
2013,"Amapa","Julho",1,2013-01-01
2014,"Amapa","Julho",4,2014-01-01
2015,"Amapa","Julho",5,2015-01-01
2016,"Amapa","Julho",1,2016-01-01
2017,"Amapa","Julho",3,2017-01-01
1998,"Amapa","Agosto",1,1998-01-01
1999,"Amapa","Agosto",0,1999-01-01
2000,"Amapa","Agosto",3,2000-01-01
2001,"Amapa","Agosto",12,2001-01-01
2002,"Amapa","Agosto",18,2002-01-01
2003,"Amapa","Agosto",14,2003-01-01
2004,"Amapa","Agosto",9,2004-01-01
2005,"Amapa","Agosto",4,2005-01-01
2006,"Amapa","Agosto",11,2006-01-01
2007,"Amapa","Agosto",5,2007-01-01
2008,"Amapa","Agosto",4,2008-01-01
2009,"Amapa","Agosto",20,2009-01-01
2010,"Amapa","Agosto",1,2010-01-01
2011,"Amapa","Agosto",16,2011-01-01
2012,"Amapa","Agosto",19,2012-01-01
2013,"Amapa","Agosto",9,2013-01-01
2014,"Amapa","Agosto",18,2014-01-01
2015,"Amapa","Agosto",40,2015-01-01
2016,"Amapa","Agosto",37,2016-01-01
2017,"Amapa","Agosto",33,2017-01-01
1998,"Amapa","Setembro",20,1998-01-01
1999,"Amapa","Setembro",4,1999-01-01
2000,"Amapa","Setembro",19,2000-01-01
2001,"Amapa","Setembro",95,2001-01-01
2002,"Amapa","Setembro",73,2002-01-01
2003,"Amapa","Setembro",88,2003-01-01
2004,"Amapa","Setembro",67,2004-01-01
2005,"Amapa","Setembro",97,2005-01-01
2006,"Amapa","Setembro",112,2006-01-01
2007,"Amapa","Setembro",61,2007-01-01
2008,"Amapa","Setembro",83,2008-01-01
2009,"Amapa","Setembro",188,2009-01-01
2010,"Amapa","Setembro",63,2010-01-01
2011,"Amapa","Setembro",128,2011-01-01
2012,"Amapa","Setembro",168,2012-01-01
2013,"Amapa","Setembro",85,2013-01-01
2014,"Amapa","Setembro",137,2014-01-01
2015,"Amapa","Setembro",192,2015-01-01
2016,"Amapa","Setembro",142,2016-01-01
2017,"Amapa","Setembro",95,2017-01-01
1998,"Amapa","Outubro",42,1998-01-01
1999,"Amapa","Outubro",25,1999-01-01
2000,"Amapa","Outubro",42,2000-01-01
2001,"Amapa","Outubro",194,2001-01-01
2002,"Amapa","Outubro",557,2002-01-01
2003,"Amapa","Outubro",355,2003-01-01
2004,"Amapa","Outubro",412,2004-01-01
2005,"Amapa","Outubro",335,2005-01-01
2006,"Amapa","Outubro",405,2006-01-01
2007,"Amapa","Outubro",162,2007-01-01
2008,"Amapa","Outubro",395,2008-01-01
2009,"Amapa","Outubro",765,2009-01-01
2010,"Amapa","Outubro",265,2010-01-01
2011,"Amapa","Outubro",304,2011-01-01
2012,"Amapa","Outubro",475,2012-01-01
2013,"Amapa","Outubro",385,2013-01-01
2014,"Amapa","Outubro",480,2014-01-01
2015,"Amapa","Outubro",827,2015-01-01
2016,"Amapa","Outubro",793,2016-01-01
2017,"Amapa","Outubro",468,2017-01-01
1998,"Amapa","Novembro",131,1998-01-01
1999,"Amapa","Novembro",26,1999-01-01
2000,"Amapa","Novembro",157,2000-01-01
2001,"Amapa","Novembro",406,2001-01-01
2002,"Amapa","Novembro",1.096,2002-01-01
2003,"Amapa","Novembro",750,2003-01-01
2004,"Amapa","Novembro",949,2004-01-01
2005,"Amapa","Novembro",685,2005-01-01
2006,"Amapa","Novembro",207,2006-01-01
2007,"Amapa","Novembro",198,2007-01-01
2008,"Amapa","Novembro",266,2008-01-01
2009,"Amapa","Novembro",1.019,2009-01-01
2010,"Amapa","Novembro",339,2010-01-01
2011,"Amapa","Novembro",282,2011-01-01
2012,"Amapa","Novembro",969,2012-01-01
2013,"Amapa","Novembro",341,2013-01-01
2014,"Amapa","Novembro",484,2014-01-01
2015,"Amapa","Novembro",1.3,2015-01-01
2016,"Amapa","Novembro",1.161,2016-01-01
2017,"Amapa","Novembro",858,2017-01-01
1998,"Amapa","Dezembro",84,1998-01-01
1999,"Amapa","Dezembro",41,1999-01-01
2000,"Amapa","Dezembro",30,2000-01-01
2001,"Amapa","Dezembro",593,2001-01-01
2002,"Amapa","Dezembro",200,2002-01-01
2003,"Amapa","Dezembro",411,2003-01-01
2004,"Amapa","Dezembro",777,2004-01-01
2005,"Amapa","Dezembro",38,2005-01-01
2006,"Amapa","Dezembro",74,2006-01-01
2007,"Amapa","Dezembro",14,2007-01-01
2008,"Amapa","Dezembro",32,2008-01-01
2009,"Amapa","Dezembro",123,2009-01-01
2010,"Amapa","Dezembro",43,2010-01-01
2011,"Amapa","Dezembro",360,2011-01-01
2012,"Amapa","Dezembro",422,2012-01-01
2013,"Amapa","Dezembro",148,2013-01-01
2014,"Amapa","Dezembro",354,2014-01-01
2015,"Amapa","Dezembro",269,2015-01-01
2016,"Amapa","Dezembro",491,2016-01-01
1998,"Amazonas","Janeiro",0,1998-01-01
1999,"Amazonas","Janeiro",3,1999-01-01
2000,"Amazonas","Janeiro",7,2000-01-01
2001,"Amazonas","Janeiro",3,2001-01-01
2002,"Amazonas","Janeiro",17,2002-01-01
2003,"Amazonas","Janeiro",158,2003-01-01
2004,"Amazonas","Janeiro",123,2004-01-01
2005,"Amazonas","Janeiro",44,2005-01-01
2006,"Amazonas","Janeiro",20,2006-01-01
2007,"Amazonas","Janeiro",37,2007-01-01
2008,"Amazonas","Janeiro",16,2008-01-01
2009,"Amazonas","Janeiro",9,2009-01-01
2010,"Amazonas","Janeiro",82,2010-01-01
2011,"Amazonas","Janeiro",53,2011-01-01
2012,"Amazonas","Janeiro",6,2012-01-01
2013,"Amazonas","Janeiro",37,2013-01-01
2014,"Amazonas","Janeiro",46,2014-01-01
2015,"Amazonas","Janeiro",35,2015-01-01
2016,"Amazonas","Janeiro",770,2016-01-01
2017,"Amazonas","Janeiro",65,2017-01-01
1998,"Amazonas","Fevereiro",0,1998-01-01
1999,"Amazonas","Fevereiro",43,1999-01-01
2000,"Amazonas","Fevereiro",62,2000-01-01
2001,"Amazonas","Fevereiro",8,2001-01-01
2002,"Amazonas","Fevereiro",2,2002-01-01
2003,"Amazonas","Fevereiro",62,2003-01-01
2004,"Amazonas","Fevereiro",92,2004-01-01
2005,"Amazonas","Fevereiro",6,2005-01-01
2006,"Amazonas","Fevereiro",10,2006-01-01
2007,"Amazonas","Fevereiro",92,2007-01-01
2008,"Amazonas","Fevereiro",32,2008-01-01
2009,"Amazonas","Fevereiro",3,2009-01-01
2010,"Amazonas","Fevereiro",81,2010-01-01
2011,"Amazonas","Fevereiro",30,2011-01-01
2012,"Amazonas","Fevereiro",25,2012-01-01
2013,"Amazonas","Fevereiro",16,2013-01-01
2014,"Amazonas","Fevereiro",49,2014-01-01
2015,"Amazonas","Fevereiro",107,2015-01-01
2016,"Amazonas","Fevereiro",275,2016-01-01
2017,"Amazonas","Fevereiro",52,2017-01-01
1998,"Amazonas","Mar�o",0,1998-01-01
1999,"Amazonas","Mar�o",7,1999-01-01
2000,"Amazonas","Mar�o",69,2000-01-01
2001,"Amazonas","Mar�o",6,2001-01-01
2002,"Amazonas","Mar�o",5,2002-01-01
2003,"Amazonas","Mar�o",64,2003-01-01
2004,"Amazonas","Mar�o",6,2004-01-01
2005,"Amazonas","Mar�o",12,2005-01-01
2006,"Amazonas","Mar�o",20,2006-01-01
2007,"Amazonas","Mar�o",6,2007-01-01
2008,"Amazonas","Mar�o",10,2008-01-01
2009,"Amazonas","Mar�o",11,2009-01-01
2010,"Amazonas","Mar�o",116,2010-01-01
2011,"Amazonas","Mar�o",49,2011-01-01
2012,"Amazonas","Mar�o",17,2012-01-01
2013,"Amazonas","Mar�o",49,2013-01-01
2014,"Amazonas","Mar�o",50,2014-01-01
2015,"Amazonas","Mar�o",46,2015-01-01
2016,"Amazonas","Mar�o",140,2016-01-01
2017,"Amazonas","Mar�o",45,2017-01-01
1998,"Amazonas","Abril",0,1998-01-01
1999,"Amazonas","Abril",2,1999-01-01
2000,"Amazonas","Abril",18,2000-01-01
2001,"Amazonas","Abril",1,2001-01-01
2002,"Amazonas","Abril",2,2002-01-01
2003,"Amazonas","Abril",11,2003-01-01
2004,"Amazonas","Abril",4,2004-01-01
2005,"Amazonas","Abril",5,2005-01-01
2006,"Amazonas","Abril",5,2006-01-01
2007,"Amazonas","Abril",0,2007-01-01
2008,"Amazonas","Abril",13,2008-01-01
2009,"Amazonas","Abril",1,2009-01-01
2010,"Amazonas","Abril",11,2010-01-01
2011,"Amazonas","Abril",5,2011-01-01
2012,"Amazonas","Abril",3,2012-01-01
2013,"Amazonas","Abril",20,2013-01-01
2014,"Amazonas","Abril",25,2014-01-01
2015,"Amazonas","Abril",24,2015-01-01
2016,"Amazonas","Abril",22,2016-01-01
2017,"Amazonas","Abril",20,2017-01-01
1998,"Amazonas","Maio",0,1998-01-01
1999,"Amazonas","Maio",0,1999-01-01
2000,"Amazonas","Maio",51,2000-01-01
2001,"Amazonas","Maio",0,2001-01-01
2002,"Amazonas","Maio",8,2002-01-01
2003,"Amazonas","Maio",2,2003-01-01
2004,"Amazonas","Maio",0,2004-01-01
2005,"Amazonas","Maio",8,2005-01-01
2006,"Amazonas","Maio",4,2006-01-01
2007,"Amazonas","Maio",0,2007-01-01
2008,"Amazonas","Maio",1,2008-01-01
2009,"Amazonas","Maio",3,2009-01-01
2010,"Amazonas","Maio",13,2010-01-01
2011,"Amazonas","Maio",6,2011-01-01
2012,"Amazonas","Maio",12,2012-01-01
2013,"Amazonas","Maio",19,2013-01-01
2014,"Amazonas","Maio",12,2014-01-01
2015,"Amazonas","Maio",10,2015-01-01
2016,"Amazonas","Maio",30,2016-01-01
2017,"Amazonas","Maio",40,2017-01-01
1998,"Amazonas","Junho",2,1998-01-01
1999,"Amazonas","Junho",7,1999-01-01
2000,"Amazonas","Junho",6,2000-01-01
2001,"Amazonas","Junho",5,2001-01-01
2002,"Amazonas","Junho",5,2002-01-01
2003,"Amazonas","Junho",3,2003-01-01
2004,"Amazonas","Junho",12,2004-01-01
2005,"Amazonas","Junho",78,2005-01-01
2006,"Amazonas","Junho",9,2006-01-01
2007,"Amazonas","Junho",23,2007-01-01
2008,"Amazonas","Junho",7,2008-01-01
2009,"Amazonas","Junho",13,2009-01-01
2010,"Amazonas","Junho",9,2010-01-01
2011,"Amazonas","Junho",22,2011-01-01
2012,"Amazonas","Junho",45,2012-01-01
2013,"Amazonas","Junho",56,2013-01-01
2014,"Amazonas","Junho",74,2014-01-01
2015,"Amazonas","Junho",33,2015-01-01
2016,"Amazonas","Junho",90,2016-01-01
2017,"Amazonas","Junho",119,2017-01-01
1998,"Amazonas","Julho",71,1998-01-01
1999,"Amazonas","Julho",11,1999-01-01
2000,"Amazonas","Julho",39,2000-01-01
2001,"Amazonas","Julho",9,2001-01-01
2002,"Amazonas","Julho",146,2002-01-01
2003,"Amazonas","Julho",180,2003-01-01
2004,"Amazonas","Julho",177,2004-01-01
2005,"Amazonas","Julho",676,2005-01-01
2006,"Amazonas","Julho",123,2006-01-01
2007,"Amazonas","Julho",116,2007-01-01
2008,"Amazonas","Julho",108,2008-01-01
2009,"Amazonas","Julho",199,2009-01-01
2010,"Amazonas","Julho",640,2010-01-01
2011,"Amazonas","Julho",271,2011-01-01
2012,"Amazonas","Julho",234,2012-01-01
2013,"Amazonas","Julho",248,2013-01-01
2014,"Amazonas","Julho",202,2014-01-01
2015,"Amazonas","Julho",356,2015-01-01
2016,"Amazonas","Julho",1.137,2016-01-01
2017,"Amazonas","Julho",1.975,2017-01-01
1998,"Amazonas","Agosto",321,1998-01-01
1999,"Amazonas","Agosto",259,1999-01-01
2000,"Amazonas","Agosto",180,2000-01-01
2001,"Amazonas","Agosto",501,2001-01-01
2002,"Amazonas","Agosto",741,2002-01-01
2003,"Amazonas","Agosto",1.867,2003-01-01
2004,"Amazonas","Agosto",1.207,2004-01-01
2005,"Amazonas","Agosto",2.316,2005-01-01
2006,"Amazonas","Agosto",1.422,2006-01-01
2007,"Amazonas","Agosto",2.241,2007-01-01
2008,"Amazonas","Agosto",861,2008-01-01
2009,"Amazonas","Agosto",1.321,2009-01-01
2010,"Amazonas","Agosto",3.727,2010-01-01
2011,"Amazonas","Agosto",1.243,2011-01-01
2012,"Amazonas","Agosto",3.011,2012-01-01
2013,"Amazonas","Agosto",1.276,2013-01-01
2014,"Amazonas","Agosto",3.852,2014-01-01
2015,"Amazonas","Agosto",4.564,2015-01-01
2016,"Amazonas","Agosto",3.611,2016-01-01
2017,"Amazonas","Agosto",6.316,2017-01-01
1998,"Amazonas","Setembro",267,1998-01-01
1999,"Amazonas","Setembro",216,1999-01-01
2000,"Amazonas","Setembro",189,2000-01-01
2001,"Amazonas","Setembro",166,2001-01-01
2002,"Amazonas","Setembro",928,2002-01-01
2003,"Amazonas","Setembro",1.401,2003-01-01
2004,"Amazonas","Setembro",911,2004-01-01
2005,"Amazonas","Setembro",2.812,2005-01-01
2006,"Amazonas","Setembro",2.218,2006-01-01
2007,"Amazonas","Setembro",1.36,2007-01-01
2008,"Amazonas","Setembro",998,2008-01-01
2009,"Amazonas","Setembro",3.091,2009-01-01
2010,"Amazonas","Setembro",2.781,2010-01-01
2011,"Amazonas","Setembro",1.295,2011-01-01
2012,"Amazonas","Setembro",2.392,2012-01-01
2013,"Amazonas","Setembro",1.739,2013-01-01
2014,"Amazonas","Setembro",3.057,2014-01-01
2015,"Amazonas","Setembro",5.882,2015-01-01
2016,"Amazonas","Setembro",3.119,2016-01-01
2017,"Amazonas","Setembro",4.033,2017-01-01
1998,"Amazonas","Outubro",83,1998-01-01
1999,"Amazonas","Outubro",479,1999-01-01
2000,"Amazonas","Outubro",145,2000-01-01
2001,"Amazonas","Outubro",332,2001-01-01
2002,"Amazonas","Outubro",695,2002-01-01
2003,"Amazonas","Outubro",725,2003-01-01
2004,"Amazonas","Outubro",710,2004-01-01
2005,"Amazonas","Outubro",545,2005-01-01
2006,"Amazonas","Outubro",721,2006-01-01
2007,"Amazonas","Outubro",215,2007-01-01
2008,"Amazonas","Outubro",632,2008-01-01
2009,"Amazonas","Outubro",2.189,2009-01-01
2010,"Amazonas","Outubro",889,2010-01-01
2011,"Amazonas","Outubro",694,2011-01-01
2012,"Amazonas","Outubro",1.238,2012-01-01
2013,"Amazonas","Outubro",1.202,2013-01-01
2014,"Amazonas","Outubro",952,2014-01-01
2015,"Amazonas","Outubro",2.494,2015-01-01
2016,"Amazonas","Outubro",2.105,2016-01-01
2017,"Amazonas","Outubro",1.581,2017-01-01
1998,"Amazonas","Novembro",6,1998-01-01
1999,"Amazonas","Novembro",32,1999-01-01
2000,"Amazonas","Novembro",27,2000-01-01
2001,"Amazonas","Novembro",244,2001-01-01
2002,"Amazonas","Novembro",259,2002-01-01
2003,"Amazonas","Novembro",169,2003-01-01
2004,"Amazonas","Novembro",209,2004-01-01
2005,"Amazonas","Novembro",261,2005-01-01
2006,"Amazonas","Novembro",59,2006-01-01
2007,"Amazonas","Novembro",90,2007-01-01
2008,"Amazonas","Novembro",39,2008-01-01
2009,"Amazonas","Novembro",973,2009-01-01
2010,"Amazonas","Novembro",354,2010-01-01
2011,"Amazonas","Novembro",399,2011-01-01
2012,"Amazonas","Novembro",682,2012-01-01
2013,"Amazonas","Novembro",220,2013-01-01
2014,"Amazonas","Novembro",676,2014-01-01
2015,"Amazonas","Novembro",1.054,2015-01-01
2016,"Amazonas","Novembro",591,2016-01-01
2017,"Amazonas","Novembro",552,2017-01-01
1998,"Amazonas","Dezembro",196,1998-01-01
1999,"Amazonas","Dezembro",2,1999-01-01
2000,"Amazonas","Dezembro",60,2000-01-01
2001,"Amazonas","Dezembro",22,2001-01-01
2002,"Amazonas","Dezembro",44,2002-01-01
2003,"Amazonas","Dezembro",147,2003-01-01
2004,"Amazonas","Dezembro",53,2004-01-01
2005,"Amazonas","Dezembro",17,2005-01-01
2006,"Amazonas","Dezembro",23,2006-01-01
2007,"Amazonas","Dezembro",7,2007-01-01
2008,"Amazonas","Dezembro",0,2008-01-01
2009,"Amazonas","Dezembro",102,2009-01-01
2010,"Amazonas","Dezembro",123,2010-01-01
2011,"Amazonas","Dezembro",121,2011-01-01
2012,"Amazonas","Dezembro",80,2012-01-01
2013,"Amazonas","Dezembro",236,2013-01-01
2014,"Amazonas","Dezembro",293,2014-01-01
2015,"Amazonas","Dezembro",565,2015-01-01
2016,"Amazonas","Dezembro",133,2016-01-01
1998,"Bahia","Janeiro",0,1998-01-01
1999,"Bahia","Janeiro",114,1999-01-01
2000,"Bahia","Janeiro",31,2000-01-01
2001,"Bahia","Janeiro",24,2001-01-01
2002,"Bahia","Janeiro",125,2002-01-01
2003,"Bahia","Janeiro",439,2003-01-01
2004,"Bahia","Janeiro",158,2004-01-01
2005,"Bahia","Janeiro",303,2005-01-01
2006,"Bahia","Janeiro",225,2006-01-01
2007,"Bahia","Janeiro",373,2007-01-01
2008,"Bahia","Janeiro",314,2008-01-01
2009,"Bahia","Janeiro",177,2009-01-01
2010,"Bahia","Janeiro",297,2010-01-01
2011,"Bahia","Janeiro",101,2011-01-01
2012,"Bahia","Janeiro",179,2012-01-01
2013,"Bahia","Janeiro",125,2013-01-01
2014,"Bahia","Janeiro",132,2014-01-01
2015,"Bahia","Janeiro",256,2015-01-01
2016,"Bahia","Janeiro",285,2016-01-01
2017,"Bahia","Janeiro",154,2017-01-01
1998,"Bahia","Fevereiro",0,1998-01-01
1999,"Bahia","Fevereiro",157,1999-01-01
2000,"Bahia","Fevereiro",32,2000-01-01
2001,"Bahia","Fevereiro",101,2001-01-01
2002,"Bahia","Fevereiro",204,2002-01-01
2003,"Bahia","Fevereiro",223,2003-01-01
2004,"Bahia","Fevereiro",122,2004-01-01
2005,"Bahia","Fevereiro",143,2005-01-01
2006,"Bahia","Fevereiro",277,2006-01-01
2007,"Bahia","Fevereiro",113,2007-01-01
2008,"Bahia","Fevereiro",235,2008-01-01
2009,"Bahia","Fevereiro",117,2009-01-01
2010,"Bahia","Fevereiro",206,2010-01-01
2011,"Bahia","Fevereiro",156,2011-01-01
2012,"Bahia","Fevereiro",200,2012-01-01
2013,"Bahia","Fevereiro",231,2013-01-01
2014,"Bahia","Fevereiro",107,2014-01-01
2015,"Bahia","Fevereiro",143,2015-01-01
2016,"Bahia","Fevereiro",418,2016-01-01
2017,"Bahia","Fevereiro",100,2017-01-01
1998,"Bahia","Mar�o",0,1998-01-01
1999,"Bahia","Mar�o",83,1999-01-01

